epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2195.26,1.46005,1.61071,1.2665,0.69286,0.49729,0.53839,0.28035,1.40243,1.30501,1.23359,0.00332983,0.00332983,0.00332983
2,4655.36,1.43034,1.34441,1.25227,0.6759,0.50103,0.54728,0.27239,1.48612,1.31586,1.30685,0.00653123,0.00653123,0.00653123
3,6972.21,1.48981,1.36793,1.29476,0.62327,0.46341,0.49253,0.24568,1.61414,1.44541,1.41892,0.00960063,0.00960063,0.00960063
4,9141.74,1.51119,1.38351,1.31907,0.65392,0.49493,0.52479,0.26264,1.56364,1.35376,1.39146,0.009406,0.009406,0.009406
5,11413.9,1.45867,1.32064,1.29647,0.68027,0.47983,0.52385,0.2787,1.56772,1.3154,1.41845,0.009208,0.009208,0.009208
6,13605.4,1.42515,1.27328,1.27645,0.7179,0.51032,0.56918,0.30501,1.49811,1.21296,1.35553,0.00901,0.00901,0.00901
7,15788.8,1.3861,1.22775,1.26022,0.71958,0.53002,0.58918,0.3197,1.46086,1.17707,1.34066,0.008812,0.008812,0.008812
8,17972.3,1.36639,1.19544,1.24874,0.71588,0.54081,0.59592,0.3251,1.44153,1.14914,1.32274,0.008614,0.008614,0.008614
9,20148.9,1.34025,1.16602,1.23542,0.73455,0.54566,0.61798,0.33959,1.43074,1.07096,1.31777,0.008416,0.008416,0.008416
10,22326.6,1.32218,1.13575,1.22324,0.70529,0.55002,0.61228,0.33725,1.4416,1.06833,1.30808,0.008218,0.008218,0.008218
11,24494.1,1.30828,1.1246,1.2191,0.74365,0.5531,0.62027,0.34487,1.41342,1.0534,1.30517,0.00802,0.00802,0.00802
12,26661.8,1.29195,1.10533,1.21127,0.75166,0.55651,0.62932,0.35638,1.36792,1.02332,1.26709,0.007822,0.007822,0.007822
13,28831.2,1.28029,1.08779,1.20119,0.74868,0.54522,0.61996,0.34817,1.39388,1.0377,1.29444,0.007624,0.007624,0.007624
14,30999.3,1.26341,1.06773,1.1923,0.75665,0.55966,0.6302,0.3599,1.3663,1.00563,1.26288,0.007426,0.007426,0.007426
15,33167.8,1.25122,1.05899,1.1859,0.75176,0.58665,0.64889,0.37133,1.35632,0.99177,1.25637,0.007228,0.007228,0.007228
16,35338.8,1.24204,1.04059,1.1779,0.74661,0.58462,0.65001,0.37232,1.34517,0.99953,1.24771,0.00703,0.00703,0.00703
17,37648.3,1.23075,1.02814,1.1736,0.75994,0.5772,0.66104,0.38425,1.32499,0.95511,1.23417,0.006832,0.006832,0.006832
18,39885.4,1.22299,1.02281,1.17035,0.76551,0.59024,0.66963,0.38827,1.3247,0.94357,1.23876,0.006634,0.006634,0.006634
19,42054.1,1.2178,1.00749,1.1643,0.76474,0.58424,0.66157,0.38844,1.30533,0.938,1.22678,0.006436,0.006436,0.006436
20,44313.9,1.20178,0.99751,1.1582,0.77197,0.6,0.67707,0.39546,1.29795,0.92367,1.22273,0.006238,0.006238,0.006238
21,46617.8,1.19909,0.9897,1.15365,0.7708,0.60256,0.67925,0.40059,1.29236,0.9183,1.21274,0.00604,0.00604,0.00604
22,48789.5,1.18267,0.97064,1.14585,0.77505,0.60338,0.68112,0.40436,1.28572,0.91512,1.21565,0.005842,0.005842,0.005842
23,50962.9,1.17687,0.97274,1.14425,0.78681,0.6136,0.69346,0.41118,1.28004,0.8993,1.209,0.005644,0.005644,0.005644
24,53129,1.17131,0.96205,1.14319,0.79022,0.60072,0.69066,0.40747,1.28757,0.9025,1.2081,0.005446,0.005446,0.005446
25,55301.5,1.16466,0.95379,1.1383,0.78611,0.61144,0.6894,0.41236,1.28192,0.8882,1.20861,0.005248,0.005248,0.005248
26,57477,1.15015,0.94105,1.13109,0.77924,0.61257,0.6922,0.41879,1.25893,0.87962,1.18866,0.00505,0.00505,0.00505
27,59651.5,1.14291,0.9312,1.12683,0.79686,0.61527,0.70049,0.42173,1.25708,0.86913,1.1894,0.004852,0.004852,0.004852
28,61822.5,1.14438,0.92857,1.12571,0.79284,0.62004,0.70247,0.42434,1.25521,0.86696,1.19027,0.004654,0.004654,0.004654
29,63996.2,1.12986,0.91992,1.12206,0.78928,0.62392,0.70318,0.42564,1.24802,0.85506,1.18164,0.004456,0.004456,0.004456
30,66167,1.12528,0.90955,1.11812,0.79276,0.61689,0.70292,0.42786,1.24678,0.84466,1.18554,0.004258,0.004258,0.004258
31,68337.4,1.11922,0.89872,1.11269,0.80679,0.61306,0.70595,0.42989,1.2378,0.84039,1.17704,0.00406,0.00406,0.00406
32,70514.1,1.11311,0.8951,1.11035,0.79915,0.6228,0.70828,0.43324,1.23642,0.83978,1.17407,0.003862,0.003862,0.003862
33,72689.8,1.10037,0.88561,1.1055,0.80374,0.62129,0.71046,0.43509,1.23533,0.83497,1.17083,0.003664,0.003664,0.003664
34,74865.6,1.09381,0.87523,1.10266,0.79146,0.62899,0.71494,0.43861,1.22641,0.83108,1.16974,0.003466,0.003466,0.003466
35,77036.8,1.09156,0.87103,1.09928,0.80063,0.62899,0.71482,0.4383,1.22611,0.8276,1.16858,0.003268,0.003268,0.003268
36,79293.7,1.08749,0.86437,1.09627,0.80113,0.6334,0.71729,0.44187,1.21882,0.82314,1.16067,0.00307,0.00307,0.00307
37,81734.1,1.07733,0.84815,1.09258,0.80595,0.63058,0.71903,0.44376,1.22025,0.81301,1.16355,0.002872,0.002872,0.002872
38,83998.8,1.06482,0.84198,1.08589,0.80785,0.63424,0.7212,0.44589,1.21551,0.81357,1.16202,0.002674,0.002674,0.002674
39,86190.2,1.06085,0.83758,1.08783,0.79769,0.63874,0.72061,0.44737,1.20924,0.81013,1.15859,0.002476,0.002476,0.002476
40,88388.9,1.05877,0.83423,1.08256,0.80426,0.63555,0.72382,0.44856,1.20323,0.80479,1.15622,0.002278,0.002278,0.002278
41,90514.7,1.0186,0.77564,1.07053,0.80107,0.63311,0.72161,0.44896,1.20603,0.80355,1.15769,0.00208,0.00208,0.00208
42,92643.9,1.00397,0.75866,1.0612,0.80582,0.63424,0.72167,0.45109,1.20338,0.80233,1.15617,0.001882,0.001882,0.001882
43,94774.9,1.00012,0.75313,1.05848,0.79937,0.6379,0.72366,0.45271,1.20056,0.79766,1.15434,0.001684,0.001684,0.001684
44,96903.3,0.99055,0.73899,1.05554,0.80589,0.63676,0.72527,0.45394,1.1994,0.79732,1.1514,0.001486,0.001486,0.001486
45,99054.9,0.98081,0.73085,1.04811,0.80985,0.63447,0.72705,0.45546,1.19433,0.79073,1.14767,0.001288,0.001288,0.001288
46,101208,0.97328,0.72121,1.04606,0.8118,0.63583,0.7279,0.45653,1.18908,0.78774,1.1454,0.00109,0.00109,0.00109
47,103365,0.9623,0.71157,1.04332,0.80792,0.63844,0.72948,0.45837,1.19091,0.78427,1.1468,0.000892,0.000892,0.000892
48,105518,0.954,0.70238,1.03804,0.80529,0.64093,0.73003,0.45955,1.18801,0.78092,1.14471,0.000694,0.000694,0.000694
49,107673,0.95143,0.69858,1.03375,0.80511,0.63968,0.73049,0.45988,1.18696,0.78025,1.14404,0.000496,0.000496,0.000496
50,109815,0.94522,0.69028,1.03143,0.80277,0.64183,0.7312,0.45984,1.18638,0.77967,1.14391,0.000298,0.000298,0.000298
